week,kitchen,gmv
2026-08-17,21 SANTA TERESITA,23854
2026-08-17,23 SANTA CATARINA,4325
2026-08-17,25 TABACHINES,11174
2026-08-17,26 CIUDAD JUDICIAL,1558
2026-08-17,30 LINCOLN,14203
2026-08-17,31 MONTEJO,8514
2026-08-17,34 TLAQUEPAQUE,7339
2026-08-17,37 CANEK,15916
2026-08-17,38 SALTILLO CENTRO,14963
2026-08-17,39 MONTERREY CENTRO,419
2026-08-24,01 DOCTORES,22912
2026-08-24,02 SAN ANGEL,47685
2026-08-24,03 POLANCO,82799
2026-08-24,05 COAPA,25692
2026-08-24,09 CHURUBUSCO,20283
2026-08-24,10 SAN JERONIMO,33685
2026-08-24,12 DEL VALLE,20796
2026-08-24,13 TEC,18363
2026-08-24,14 JARDINES,28669
2026-08-24,15 LINDAVISTA,9632
2026-08-24,19 LA CALMA,28041
2026-08-24,21 SANTA TERESITA,33583
2026-08-24,23 SANTA CATARINA,4793
2026-08-24,25 TABACHINES,20443
2026-08-24,26 CIUDAD JUDICIAL,4328
2026-08-24,30 LINCOLN,22886
2026-08-24,31 MONTEJO,12168
2026-08-24,34 TLAQUEPAQUE,9847
2026-08-24,37 CANEK,19761
2026-08-24,38 SALTILLO CENTRO,16449
2026-08-24,39 MONTERREY CENTRO,2193
