brand,storeId,storeName,avg4w,weeksData,coverageCurrent,coverageResult,diffGoal,devPct,status,losesCoverage,trend,w1,w2,w3,w4
Acpm Corrientazo - Turbo,900467510,Acpm Corrientazo Villa Del Prado - Turbo,2.438889,3,2400,2400,0.438889,0.2194445,🟡 Atención,No,Mejorando,,6.216667,0.533333,0.566667
House Of Salads - Turbo,900445673,House Of Salad Chapinero - Turbo,2.438148153,4,2400,2400,0.4381481528,0.2190740764,🟡 Atención,No,Mejorando,3.264814778,5.06,0.7333335,0.6944443333
Mañanero Diario - Turbo,900488961,Mañanero Diario Arrecife - Turbo,2.428472,4,2700,2700,0.428472,0.214236,🟡 Atención,No,Estable,2.258333,2.127777667,3.033333,2.294444333
Alba Vegetarian - Turbo,900488270,Alba Vegetarian Arrecife - Turbo,2.424603232,4,2700,2700,0.4246032321,0.2123016161,🟡 Atención,No,Empeorando,1.026190429,1.3208335,4.4125,2.938889
Desayunos de la Abuela - Turbo,900473561,Desayunos de la Abuela Andes - Turbo,2.412040109,4,2400,2400,0.4120401093,0.2060200547,🟡 Atención,No,Estable,1.432051308,2.669047643,2.657894737,2.88916675
Green House Fd - Turbo,900438442,Green House Colina - Turbo,2.411312561,4,2400,2400,0.4113125607,0.2056562804,🟡 Atención,No,Estable,2.266666625,2.6761905,1.767777733,2.934615385
La Cuadra - Turbo,900416199,La Cuadra - Chapinero - Turbo,2.385059131,4,2700,2700,0.3850591315,0.1925295657,🟡 Atención,No,Mejorando,3.736021419,2.697777767,1.196913519,1.909523821
Acpm Corrientazo - Turbo,900467512,Acpm Corrientazo Manila - Turbo,2.383333333,3,3000,3000,0.3833333333,0.1916666667,🟡 Atención,No,Empeorando,0.9,,5.766667,0.483333
Ñamgucheria Sandwiches - Turbo,900440620,Ñamguchería Bucaramanga. - Turbo,2.37830107,4,3000,3000,0.37830107,0.189150535,🟡 Atención,No,Estable,2.055882412,2.33800004,2.918627412,2.200694417
Bottaniko - Turbo,900443511,Bottaniko - Villa del Prado - Turbo,2.374536917,3,2700,2700,0.3745369167,0.1872684583,🟡 Atención,No,Estable,3.733333,1.311111,2.07916675,
Brunch & Munch - Turbo,900410119,Brunch & Munch Villa del Prado  - Turbo,2.36202541,4,2700,2700,0.3620254097,0.1810127049,🟡 Atención,No,Estable,1.834444333,3.356944375,2.427083375,1.829629556
Desayunos de la Abuela - Turbo,900446306,Desayunos de la Abuela San Fernando - Turbo,2.35333355,4,2700,2700,0.35333355,0.176666775,🟡 Atención,No,Empeorando,3.3800002,0.216667,2.966667,2.85
Mr Beast Burger - Turbo,900476815,Mr Beast Ingenio - Turbo,2.352841892,4,2400,2400,0.3528418923,0.1764209462,🟡 Atención,No,Estable,1.960256385,2.066666722,3.0844444,2.300000063
Sanduches el Jefe - Turbo,900419499,Sandwich el Jefe Barranquilla - Turbo Cra. 45  353,2.350641122,4,2700,2700,0.3506411218,0.1753205609,🟡 Atención,No,Estable,2.566666833,2.236111333,2.047222167,2.552564154
Foodology Court - Turbo,900465149,Foodology San Fernando - Turbo Carrera 38 #5e-9,2.35,3,2700,2700,0.35,0.175,🟡 Atención,No,Mejorando,,6.416667,0.25,0.383333
Burritos & Co - Turbo,900464311,Burritos & Co Cl 109 - Turbo,2.343369267,4,2700,2700,0.3433692672,0.1716846336,🟡 Atención,No,Estable,2.264285762,2.960784294,2.0757575,2.072649513
Casa Arabe - Turbo,900477842,Casa Árabe Calle 93 - Turbo,2.340699414,4,2400,2400,0.3406994137,0.1703497068,🟡 Atención,No,Estable,2.11041675,2.569047571,1.366666667,3.316666667
