brand,storeId,storeName,avg4w,weeksData,coverageCurrent,coverageResult,diffGoal,devPct,status,losesCoverage,trend,w1,w2,w3,w4
House Of Salads - Turbo,900476070,House Of Salads Andes - Turbo,1.778905575,4,3000,3000,-0.2210944245,-0.1105472123,🟢 Saludable,No,Estable,1.615686294,1.446153923,1.9191667,2.134615385
Monteverde - Turbo,900450774,Monteverde Barranquilla - Turbo,1.772982873,4,3000,3000,-0.2270171268,-0.1135085634,🟢 Saludable,No,Estable,2.505031434,1.619208983,2.126950298,0.8407407778
Avocalia Turbo,900405547,Avocalia Barranquilla - Turbo,1.770668127,4,2700,2700,-0.2293318732,-0.1146659366,🟢 Saludable,No,Estable,2.2842857,1.348214304,1.983072906,1.467099597
House Of Salads - Turbo,900476073,House Of Salads Cabecera - Turbo,1.761805375,4,3000,3000,-0.238194625,-0.1190973125,🟢 Saludable,No,Mejorando,1.683333167,3.905555333,0.65,0.808333
House Of Salads - Turbo,900445671,House Of Salad San Fernando - Turbo,1.759027833,4,3000,3000,-0.2409721667,-0.1204860833,🟢 Saludable,No,Estable,1.877778,2.325,1.305555333,1.527778
Ñamgucheria Sandwiches - Turbo,900439222,Ñamguchería Laureles - Turbo,1.755857702,4,3000,3000,-0.2441422984,-0.1220711492,🟢 Saludable,No,Estable,1.182142929,2.480303091,1.737499969,1.623484818
Avocalia Turbo,900488273,Avocalia Arrecife - Turbo,1.752819811,4,2700,2700,-0.2471801891,-0.1235900946,🟢 Saludable,No,Estable,1.834102554,1.691762425,2.102564062,1.382850203
la Cuadra Desayunos Caseros - Turbo,900481966,La Cuadra Desayunos Caseros Cartagena - Turbo,1.733333,1,3000,3000,-0.266667,-0.1333335,🟢 Saludable,No,Sin datos suficientes,,,1.733333,
Helados San Jerónimo - Turbo,900420291,Heladería San Jerónimo Kennedy - Turbo,1.715972188,4,3000,3000,-0.2840278125,-0.1420139063,🟢 Saludable,No,Mejorando,4.125,1.92916675,0.497222,0.3125
Cinnabon - Turbo,900426807,Cinnabon Bucaramanga - Turbo,1.713821005,4,3000,3000,-0.2861789948,-0.1430894974,🟢 Saludable,No,Estable,0.8999999091,2.367543789,1.903124938,1.684615385
Cacerola - Turbo,900473675,Cacerola - Andes - Turbo,1.708333,3,2100,2100,-0.291667,-0.1458335,🟢 Saludable,No,Empeorando,0.483333,1.858333,,2.783333
Burritos & Co - Turbo,900473554,Burritos & Co - Ingenio - Turbo,1.705705472,4,2400,2400,-0.2942945278,-0.1471472639,🟢 Saludable,No,Estable,1.419540241,1.854761964,1.577142857,1.971376826
Selvatiko. - Turbo,900475116,Selvatiko. Chapinero - Turbo,1.7,1,2700,2700,-0.3,-0.15,🟢 Saludable,No,Sin datos suficientes,,,1.7,
Selvatiko. - Turbo,900475118,Selvatiko. Villa del prado - Turbo,1.698958375,4,2700,2700,-0.301041625,-0.1505208125,🟢 Saludable,No,Mejorando,0.316667,4.0916665,1.05,1.3375
Desayunos de la Abuela - Turbo,900446313,Desayunos de la Abuela Cabecera - Turbo,1.69113405,4,2700,2700,-0.3088659497,-0.1544329748,🟢 Saludable,No,Estable,2.1391666,0.8409090909,2.401851815,1.382608696
Mañanero Diario - Turbo,900475199,Mañanero Kennedy - Turbo,1.6791665,2,2400,2400,-0.3208335,-0.16041675,🟢 Saludable,No,Empeorando,,1.258333,2.1,
Burritos & Co - Turbo,900410569,Burritos & CO Cali - San Fernando - Turbo,1.677318981,4,2700,2700,-0.3226810193,-0.1613405097,🟢 Saludable,No,Estable,0.975,1.772222333,2.023958375,1.938095214
Desayuno Mi Tierrita - Turbo,900470919,Desayunos Mi Tierrita - Kennedy - Turbo,1.6666665,2,2100,2100,-0.3333335,-0.16666675,🟢 Saludable,No,Sin datos suficientes,0.783333,2.55,,
Green House Fd - Turbo,900438444,Green House San Fernando - Turbo,1.655059472,4,2400,2400,-0.3449405283,-0.1724702641,🟢 Saludable,No,Estable,1.572222167,2.285416625,1.325694417,1.436904679
Frost By Oreo - Turbo,900400262,Frost By Oreo Castellana - Turbo,1.647222083,4,2700,2700,-0.3527779167,-0.1763889583,🟢 Saludable,No,Empeorando,1.033333,0,4.4,1.155555333
Bottaniko - Turbo,900443512,Bottaniko Manila - Medellin - Turbo,1.642117763,4,3000,3000,-0.357882237,-0.1789411185,🟢 Saludable,No,Estable,1.045238143,2.677778,0.6287879091,2.216667
Casa Arabe - Turbo,900488281,Casa Arabe Arrecife - Turbo,1.641666833,2,1,1,-0.3583331667,-0.1791665833,🟢 Saludable,No,Sin datos suficientes,,,1.416667,1.866666667
Desayunos de la Abuela - Turbo,900446317,Desayunos de la Abuela Laureles - Turbo,1.633605012,4,3000,3000,-0.3663949883,-0.1831974941,🟢 Saludable,No,Estable,1.235507174,2.134482828,1.230303045,1.934127
Monteverde - Turbo,900489032,Monteverde Arrecife - Turbo,1.633068259,4,2700,2700,-0.3669317409,-0.1834658705,🟢 Saludable,No,Estable,2.0383334,0.6166665556,1.493939636,2.383333444
Alba Vegetarian - Turbo,900479519,Alba Vegetarian - Cartagena Calle 24a 329 - Turbo,1.625,1,3000,3000,-0.375,-0.1875,🟢 Saludable,No,Sin datos suficientes,,,,1.625
la Cuadra Desayunos Caseros - Turbo,900470909,La Cuadra Desayunos Caseros Laureles - Turbo,1.620833375,4,2700,2700,-0.379166625,-0.1895833125,🟢 Saludable,No,Empeorando,0.1166665,1.7833335,2.2583335,2.325
Casa Arabe - Turbo,900477844,Casa Árabe Andes - Turbo,1.618055628,4,2700,2700,-0.381944372,-0.190972186,🟢 Saludable,No,Mejorando,2.166666833,2.016666545,1.2666668,1.022222333
Frost By Oreo - Turbo,900419498,Frost By Oreo Chico - Turbo,1.616919153,4,3000,3000,-0.383080847,-0.1915404235,🟢 Saludable,No,Estable,1.3533332,1.5133332,0.6954545455,2.905555667
Avocalia Turbo,900401242,Avocalia - Castellana - Turbo,1.613993241,4,2400,2400,-0.3860067587,-0.1930033793,🟢 Saludable,No,Estable,1.807222167,1.694961209,1.498397442,1.455392147
Burrito Cantina - Turbo,900470960,Burrito Cantina Kennedy - Turbo,1.605555333,3,2700,2700,-0.3944446667,-0.1972223333,🟢 Saludable,No,Estable,,1.533333,1.9,1.383333
Cinnabon - Turbo,900416553,Cinnabon Villa Del Prado - Turbo,1.605533643,4,2700,2700,-0.3944663567,-0.1972331784,🟢 Saludable,No,Estable,1.50733332,2.267094026,1.72469137,0.9230158571
Almuerzos D´la Casa - Turbo,900471208,Almuerzos D´la Casa - Santa Monica - Turbo,1.598958313,4,2400,2400,-0.4010416875,-0.2005208438,🟢 Saludable,No,Empeorando,0,2.0166665,3.92916675,0.45
Dembow - Turbo,900473644,Dembow - Manila - Turbo,1.598611167,3,3000,3000,-0.4013888333,-0.2006944167,🟢 Saludable,No,Estable,3.016667,0,1.7791665,
Doritos Locos By Dorito - Turbo,900473565,Doritos Locos By Dorito Kennedy - Turbo,1.587499958,4,2400,2400,-0.4125000417,-0.2062500208,🟢 Saludable,No,Mejorando,0.1,4.319444167,0.3,1.630555667
La Cuadra - Turbo,900416192,La Cuadra - Castellana - Turbo,1.582348459,4,2400,2400,-0.4176515409,-0.2088257705,🟢 Saludable,No,Mejorando,3.106060636,1.791111067,1.171111133,0.261111
Avocalia Turbo,900480008,Avocalia - Cartagena - Turbo,1.576243138,4,2700,2700,-0.423756862,-0.211878431,🟢 Saludable,No,Estable,1.637387378,1.499186951,1.466666625,1.701731597
Honest Food Fdl - Turbo,900488848,Honest Food Arrecife - Turbo,1.57020564,4,2700,2700,-0.42979436,-0.21489718,🟢 Saludable,No,Estable,1.449999958,2.230128115,0.989583375,1.611111111
Acpm Corrientazo - Turbo,900467504,Acpm Corrientazo San Fernando - Turbo,1.5583335,2,3000,3000,-0.4416665,-0.22083325,🟢 Saludable,No,Estable,,1.8583335,1.2583335,
Desayuno Mi Tierrita - Turbo,900465162,Desayunos Mi Tierrita - Villa del prado - Turbo,1.549999917,4,2100,2100,-0.4500000833,-0.2250000417,🟢 Saludable,No,Estable,0.9,1.488888667,0.483333,3.327778
Señor Burrito. - Turbo,900467423,Señor Burrito Laureles - Turbo,1.545763908,4,3000,3000,-0.4542360917,-0.2271180458,🟢 Saludable,No,Estable,2.063888833,1.64583325,1.8233333,0.65000025
la Cuadra Desayunos Caseros - Turbo,900473694,la Cuadra Desayunos Caceros - Ingenio - Turbo,1.5416665,2,2700,2700,-0.4583335,-0.22916675,🟢 Saludable,No,Sin datos suficientes,,,2.883333,0.2
Burrito Cantina - Turbo,900467378,Burrito Cantina Colina - Turbo,1.538889,3,2100,2100,-0.461111,-0.2305555,🟢 Saludable,No,Empeorando,0.5,1.05,,3.066667
Avocalia Turbo,900427112,Avocalia Bucaramanga - Turbo,1.532523766,4,3000,3000,-0.4674762342,-0.2337381171,🟢 Saludable,No,Estable,1.545502651,1.934027764,1.291269821,1.359294827
Vicio - Turbo,900426529,Vicio Andes - Turbo,1.526736104,4,2700,2700,-0.4732638958,-0.2366319479,🟢 Saludable,No,Mejorando,3.925,1.67916675,0.4694443333,0.03333333333
Monteverde - Turbo,900476066,Monteverde Andes - Turbo,1.520271141,4,2700,2700,-0.4797288591,-0.2398644296,🟢 Saludable,No,Estable,1.709259333,1.725926,0.8685184444,1.777380786
Alba Vegetarian - Turbo,900443017,Alba Vegetarian - Calle 93 - Turbo,1.513333375,4,2700,2700,-0.486666625,-0.2433333125,🟢 Saludable,No,Estable,3.0583335,0.625,0,2.37
Mañanero Diario - Turbo,900443493,Mañanero diario San Fernando - Turbo,1.50833325,2,2700,2700,-0.49166675,-0.245833375,🟢 Saludable,No,Empeorando,,0,3.0166665,
Green House Fd - Turbo,900438445,Green House Bucaramanga - Turbo,1.503954834,4,2700,2700,-0.4960451655,-0.2480225828,🟢 Saludable,No,Estable,1.793478391,1.269444333,1.798484848,1.154411765
Burritos & Co - Turbo,900410570,Burritos & Co Barranquilla - Turbo,1.500229318,4,2700,2700,-0.4997706819,-0.249885341,🟢 Saludable,No,Estable,1.594968604,1.490650415,1.495918347,1.419379907
Monteverde - Turbo,900450767,Monteverde Colina - Turbo,1.49458438,4,2700,2700,-0.50541562,-0.25270781,🟢 Saludable,No,Mejorando,2.129885034,1.686507952,1.252777833,0.9091667
Burrito Cantina - Turbo,900488277,Burrito Cantina Arrecife - Turbo,1.490396843,4,2700,2700,-0.5096031571,-0.2548015786,🟢 Saludable,No,Estable,2.3266668,1.157142857,1.511111,0.9666667143
Acpm Corrientazo - Turbo,900470916,Acpm Corrientazo Andes - Turbo,1.484259222,3,3000,3000,-0.5157407778,-0.2578703889,🟢 Saludable,No,Mejorando,0.716667,3.327777667,0.408333,
Honest Food Fdl - Turbo,900475461,Honest Food Ingenio - Turbo,1.477837959,4,2400,2400,-0.5221620414,-0.2610810207,🟢 Saludable,No,Estable,1.049074111,1.340625125,2.320370444,1.201282154
Almuerzos D´la Casa - Turbo,900477128,Almuerzos D´la Casa Cl 109 - Turbo,1.4666667,4,2700,2700,-0.5333333,-0.26666665,🟢 Saludable,No,Mejorando,1.65,3,0.3733334,0.8433334
Bottaniko - Turbo,900475791,Bottaniko - Andes - Turbo,1.4666665,2,3000,3000,-0.5333335,-0.26666675,🟢 Saludable,No,Estable,1.4,,1.533333,
Avocalia Turbo,900473671,Avocalia Andes Mp - Turbo,1.463021863,4,2700,2700,-0.5369781367,-0.2684890683,🟢 Saludable,No,Estable,1.230416675,1.537857114,1.325352141,1.758461523
Burrito Cantina - Turbo,900467385,Burrito Cantina Laureles - Turbo,1.461805708,4,2700,2700,-0.5381942917,-0.2690971458,🟢 Saludable,No,Empeorando,0.191667,1.872222333,1.1,2.6833335
Almuerzos D´la Casa - Turbo,900471207,Almuerzos D´la Casa - Laureles - Turbo,1.455034671,4,3000,3000,-0.5449653292,-0.2724826646,🟢 Saludable,No,Estable,1.1916666,1.83958325,2.422222333,0.3666665
Mañanero Diario - Turbo,900476020,Mañanero Diario Chico - Turbo,1.45,1,3000,3000,-0.55,-0.275,🟢 Saludable,No,Sin datos suficientes,,1.45,,
La Cuadra - Turbo,900426536,La Cuadra - Andes - Turbo,1.444371372,4,2700,2700,-0.555628628,-0.277814314,🟢 Saludable,No,Empeorando,0.9312500625,1.095424843,1.453191468,2.297619114
La Cuadra - Turbo,900416200,La Cuadra Cali - San Fernando - Turbo,1.436550705,4,3000,3000,-0.5634492952,-0.2817246476,🟢 Saludable,No,Estable,0.9608527209,1.840530341,1.186486486,1.758333271
Frost By Oreo - Turbo,900426531,Frost by Oreo Bucaramanga - Turbo,1.434722188,4,3000,3000,-0.5652778125,-0.2826389063,🟢 Saludable,No,Empeorando,0.2625,0.238889,4.508333,0.72916675
Acpm Corrientazo - Turbo,900488269,Acpm Corrientazo Arrecife - Turbo,1.433958419,4,2700,2700,-0.5660415813,-0.2830207906,🟢 Saludable,No,Estable,1.902222267,1.504444533,0.87916675,1.450000125
Acpm Corrientazo - Turbo,900467513,Acpm Corrientazo Colina - Turbo,1.4333335,1,3000,3000,-0.5666665,-0.28333325,🟢 Saludable,No,Sin datos suficientes,,1.4333335,,
Selvatiko. - Turbo,900482001,Selvatiko. Cartagena - Turbo,1.433333,1,2400,2400,-0.566667,-0.2833335,🟢 Saludable,No,Sin datos suficientes,1.433333,,,
Brunch & Munch - Turbo,900409674,Brunch & Munch Usaquen - Turbo,1.429828954,4,3000,3000,-0.5701710464,-0.2850855232,🟢 Saludable,No,Estable,1.410909109,1.196009394,1.426190449,1.686206862
Mr Beast Burger - Turbo,900409679,Mr Beast Usaquén - Turbo,1.423398624,4,3000,3000,-0.5766013757,-0.2883006879,🟢 Saludable,No,Estable,1.324999923,1.198718,1.282098741,1.887777833
Acpm Corrientazo - Turbo,900479517,Acpm Corrientazo Cartagena - Turbo,1.423105955,4,2700,2700,-0.5768940455,-0.2884470227,🟢 Saludable,No,Empeorando,0.5333333333,0.7090908182,0.4166666667,4.033333
Ñamgucheria Sandwiches - Turbo,900439223,Ñamguchería Manila - Turbo,1.409582897,4,3000,3000,-0.5904171032,-0.2952085516,🟢 Saludable,No,Estable,1.394827586,1.492929242,1.516092034,1.234482724
The Breakfast Club - Turbo,900475214,The Breakfast Club Laurele - Turbo,1.403585965,4,2700,2700,-0.5964140345,-0.2982070173,🟢 Saludable,No,Estable,1.402136692,1.591823887,1.489430878,1.130952405
Honest Food Fdl - Turbo,900481826,Honest Food Cartagena - Turbo,1.394314029,4,2700,2700,-0.6056859708,-0.3028429854,🟢 Saludable,No,Estable,1.621428571,0.901282,1.610606091,1.443939455
Cinnabon - Turbo,900476080,Cinnabon Colina - Turbo,1.366978077,4,2400,2400,-0.6330219235,-0.3165109617,🟢 Saludable,No,Estable,0.9986111667,1.8377778,0.7423076923,1.889215647
Honest Food Fdl - Turbo,900475459,Honest Food Andes - Turbo,1.365696108,4,2400,2400,-0.6343038922,-0.3171519461,🟢 Saludable,No,Estable,0.9731884348,1.603921588,1.17028987,1.715384538
Numa Cocina Mediterranea - Turbo,900463746,Numa Cocina Mediterranea Calle 93 - Turbo,1.354861104,4,2400,2400,-0.6451388958,-0.3225694479,🟢 Saludable,No,Mejorando,3.294444667,1.49166675,0.333333,0.3
The Breakfast Club - Turbo,900475289,The Breakfast Club Usaquen - Turbo,1.340891747,4,3000,3000,-0.6591082528,-0.3295541264,🟢 Saludable,No,Estable,1.357575727,0.9769607941,0.8058824118,2.223148056
Avocalia Turbo,900472745,Avocalia - Ingenio - Turbo,1.332231223,4,2400,2400,-0.6677687766,-0.3338843883,🟢 Saludable,No,Estable,1.228571429,1.382575636,1.344444429,1.3733334
Selvatiko. - Turbo,900475117,Selvatiko. Manila - Turbo,1.323750025,4,3000,3000,-0.676249975,-0.3381249875,🟢 Saludable,No,Estable,1.6133332,1.4733334,2.05,0.1583335
Frost By Oreo - Turbo,900475372,Frost By Oreo Cl 109 - Turbo,1.321458413,4,3000,3000,-0.6785415875,-0.3392707938,🟢 Saludable,No,Estable,1.9958335,0.86666675,1.0366668,1.3866666
House Of Salads - Turbo,900445676,House Of Salad Colina - Turbo,1.312222292,4,2700,2700,-0.6877777083,-0.3438888542,🟢 Saludable,No,Mejorando,2.685,0.7027778333,0.9861111667,0.8750001667
Vicio - Turbo,900405131,Vicio San Fernando - Turbo,1.31041675,2,2700,2700,-0.68958325,-0.344791625,🟢 Saludable,No,Mejorando,,1.9208335,0.7,
Cinnabon - Turbo,900405124,Cinnabon San Fernando - Turbo,1.294039359,4,2700,2700,-0.7059606414,-0.3529803207,🟢 Saludable,No,Estable,0.54583325,1.339583375,1.690740667,1.600000143
Burritos & Co - Turbo,900420641,Burritos And Co - Colina - Turbo,1.292047791,4,2700,2700,-0.7079522091,-0.3539761046,🟢 Saludable,No,Estable,1.288141019,1.924122803,0.8945238286,1.061403513
Burritos & Co - Turbo,900426540,Burritos & Co Andes - Turbo,1.283939288,4,2700,2700,-0.7160607124,-0.3580303562,🟢 Saludable,No,Estable,1.440909109,1.083333355,1.364506148,1.247008538
Honest Food Fdl - Turbo,900472132,Honest Food Laureles - Turbo,1.283379219,4,2700,2700,-0.7166207815,-0.3583103907,🟢 Saludable,No,Estable,1.217878836,1.345045081,1.288541688,1.282051269
Cacerola - Turbo,900473673,Cacerola - Colina - Turbo,1.283333,1,2400,2400,-0.716667,-0.3583335,🟢 Saludable,No,Sin datos suficientes,,,1.283333,
Green House Fd - Turbo,900438443,Green House Laureles - Turbo,1.279742111,4,2700,2700,-0.7202578893,-0.3601289446,🟢 Saludable,No,Estable,1.027240172,1.334374988,1.453240764,1.304112519
Alba Vegetarian - Turbo,900475221,Alba Vegetarian - Andes - Turbo,1.268055458,4,2400,2400,-0.7319445417,-0.3659722708,🟢 Saludable,No,Empeorando,0.75,0.8388888333,1.033333,2.45
Honest Food Fdl - Turbo,900472134,Honest Food Cabecera - Turbo,1.25957789,4,3000,3000,-0.7404221101,-0.370211055,🟢 Saludable,No,Estable,1.464285571,1.445454545,0.7833333,1.345238143
Doritos Locos By Dorito - Turbo,900488774,Doritosclocos By Doritos Arrecife - Turbo,1.258333375,4,2700,2700,-0.741666625,-0.3708333125,🟢 Saludable,No,Mejorando,0.9,3.2333335,0.566667,0.333333
Cinnabon - Turbo,900475098,Cinnabon Ingenio - Turbo,1.242113094,4,2700,2700,-0.7578869063,-0.3789434531,🟢 Saludable,No,Mejorando,2.541666625,1.297619,0.3833335,0.74583325
Mañanero Diario - Turbo,900443495,Mañanero diario Manila - Turbo,1.229629667,3,3000,3000,-0.7703703333,-0.3851851667,🟢 Saludable,No,Mejorando,1.466666667,1.505555667,0.7166666667,
Monteverde - Turbo,900476067,Monteverde Ingenio - Turbo,1.227048694,4,2700,2700,-0.7729513063,-0.3864756531,🟢 Saludable,No,Estable,1.211111,0.616667,1.5283334,1.552083375
La Cuadra - Turbo,900416197,La Cuadra Barranquilla Norte - Turbo,1.222955633,4,2700,2700,-0.777044367,-0.3885221835,🟢 Saludable,No,Estable,1.587943277,1.027907,1.175555556,1.1004167
Brunch & Munch - Turbo,900472747,Brunch & Munch - Ingenio - Turbo,1.222222083,4,2400,2400,-0.7777779167,-0.3888889583,🟢 Saludable,No,Estable,0.233333,1.705555333,0.6,2.35
House Of Salads - Turbo,900445675,House Of Salad Barranquilla - Turbo,1.221597225,4,2400,2400,-0.778402775,-0.3892013875,🟢 Saludable,No,Estable,0.3916665,2.5875,0.313889,1.5933334
Cacerola - Turbo,900416206,Cacerola Manila - Medellin - Turbo,1.2203705,3,3000,3000,-0.7796295,-0.38981475,🟢 Saludable,No,Empeorando,0.7833335,0.316667,2.561111,
Burrito Cantina - Turbo,900467383,Burrito Cantina San Fernando - Turbo,1.214814889,3,3000,3000,-0.7851851111,-0.3925925556,🟢 Saludable,No,Estable,1.155555667,0.922222,1.566667,
Alba Vegetarian - Turbo,900443010,Alba Vegetarian - Cabecera - Turbo,1.2087499,4,2700,2700,-0.7912501,-0.39562505,🟢 Saludable,No,Estable,1.833333,1.15,1.3266666,0.525
Señor Burrito. - Turbo,900471311,Señor Burrito Andes - Turbo,1.201389042,4,2400,2400,-0.7986109583,-0.3993054792,🟢 Saludable,No,Estable,0.95,0.8833335,1.955555667,1.016667
Burritos & Co - Turbo,900488278,Burritos & Co Arrecife - Turbo,1.2,1,3000,3000,-0.8,-0.4,🟢 Saludable,No,Sin datos suficientes,,1.2,,
Acpm Corrientazo - Turbo,900464913,Acpm Corrientazo Cl 109 - Turbo,1.1958335,3,2400,2400,-0.8041665,-0.40208325,🟢 Saludable,No,Mejorando,0,3.066667,0.5208335,
Pret Sandwich Bistro - Turbo,900416176,Pret Sandwich Bistro Barranquilla Nte - Turbo,1.193518583,3,3000,3000,-0.8064814167,-0.4032407083,🟢 Saludable,No,Estable,,1.66666675,0.438889,1.475
Burrito Cantina - Turbo,900473552,Burrito Cantina Ingenio - Turbo,1.189583333,3,2400,2400,-0.8104166667,-0.4052083333,🟢 Saludable,No,Estable,2.1083335,0.733333,,0.7270835
Acpm Corrientazo - Turbo,900467511,Acpm Corrientazo Castellana - Turbo,1.1833335,2,2100,2100,-0.8166665,-0.40833325,🟢 Saludable,No,Empeorando,,0.316667,2.05,
Bottaniko - Turbo,900443514,Bottaniko - Bucaramanga - Turbo,1.180555583,3,3000,3000,-0.8194444167,-0.4097222083,🟢 Saludable,No,Mejorando,3.116667,,0.24166675,0.183333
Monteverde - Turbo,900482005,Monteverde Cartagena - Turbo,1.17100684,4,2700,2700,-0.8289931604,-0.4144965802,🟢 Saludable,No,Estable,1.4133332,1.069444333,0.8033332,1.397916625
Sanduches el Jefe - Turbo,900419500,Sandwich El Jefe Laureles - Turbo,1.160276024,4,3000,3000,-0.8397239762,-0.4198619881,🟢 Saludable,No,Estable,1.248148,1.321428429,1.51875,0.5527776667
Helados San Jerónimo - Turbo,900488984,Helados San Jerónimo Arrecife - Turbo,1.156574056,4,2700,2700,-0.8434259444,-0.4217129722,🟢 Saludable,No,Estable,1.3666665,1.28,1.227777833,0.7518518889
Señor Burrito. - Turbo,900467419,Señor Burrito San Fernando - Turbo,1.142013792,4,2700,2700,-0.8579862083,-0.4289931042,🟢 Saludable,No,Estable,2.0958335,0.425,1.658333,0.3888886667
Desayunos de la Abuela - Turbo,900446309,Desayunos de la Abuela Manila - Turbo,1.140367867,4,3000,3000,-0.8596321331,-0.4298160666,🟢 Saludable,No,Estable,0.4961749016,1.670833317,1.101129949,1.2933333
Frost By Oreo - Turbo,900475353,Frost By Oreo Ingenio - Turbo,1.138888833,3,3000,3000,-0.8611111667,-0.4305555833,🟢 Saludable,No,Empeorando,0,,1.8166665,1.6
Monteverde - Turbo,900449821,MonteVerde Calle 93 - Turbo,1.137009495,4,2400,2400,-0.8629905048,-0.4314952524,🟢 Saludable,No,Estable,1.622222111,0.491666625,1.453846154,0.9803030909
Monteverde - Turbo,900450772,Monteverde San Fernando - Turbo,1.136741472,4,2700,2700,-0.8632585276,-0.4316292638,🟢 Saludable,No,Empeorando,0.4016667,0.5522222667,1.023076923,2.57
Selvatiko. - Turbo,900475119,Selvatiko. Cabecera - Turbo,1.1333335,2,2700,2700,-0.8666665,-0.43333325,🟢 Saludable,No,Sin datos suficientes,,,0.35,1.916667
Selvatiko. - Turbo,900475114,Selvatiko. Santa Monica - Turbo,1.133333,1,2700,2700,-0.866667,-0.4333335,🟢 Saludable,No,Sin datos suficientes,,,1.133333,
The Breakfast Club - Turbo,900475283,The Breakfast Club Manila - Turbo,1.128921351,4,3000,3000,-0.8710786487,-0.4355393243,🟢 Saludable,No,Estable,1.032420068,0.9946180417,0.79458335,1.694063945
Almuerzos D´la Casa - Turbo,900471211,Almuerzos D´la Casa - San Fernando - Turbo,1.117638933,4,2700,2700,-0.8823610667,-0.4411805333,🟢 Saludable,No,Mejorando,1.477777667,2.0733334,0.5361111667,0.3833335
Mañanero Diario - Turbo,900443504,Mañanero diario Bucaramanga - Turbo,1.1166665,3,3000,3000,-0.8833335,-0.44166675,🟢 Saludable,No,Mejorando,,2.283333,0.525,0.5416665
Monteverde - Turbo,900450764,Monteverde Laureles - Turbo Calle 32F,1.110709955,4,2700,2700,-0.8892900445,-0.4446450223,🟢 Saludable,No,Estable,1.176356674,0.9179825263,1.1171875,1.231313121
Foodology Court - Turbo,900471303,Foodology Andes - Turbo,1.1,1,2400,2400,-0.9,-0.45,🟢 Saludable,No,Sin datos suficientes,,1.1,,
Numa Cocina Mediterranea - Turbo,900463760,Cocina Mediterranea Usaquen - Turbo,1.090740889,3,2400,2400,-0.9092591111,-0.4546295556,🟢 Saludable,No,Empeorando,0.6,0.9055556667,1.766667,
La Cuadra - Turbo,900416193,La Cuadra - Laureles - Turbo,1.067448249,4,2700,2700,-0.9325517513,-0.4662758757,🟢 Saludable,No,Estable,0.9124999375,1.495312469,0.9011110667,0.9608695217
Burrito Cantina - Turbo,900470961,Burrito Cantina Andes - Turbo,1.0625,2,2700,2700,-0.9375,-0.46875,🟢 Saludable,No,Estable,,0.841667,1.283333,
Señor Burrito. - Turbo,900467422,Señor Burrito Colina - Turbo,1.056944417,4,3000,3000,-0.9430555833,-0.4715277917,🟢 Saludable,No,Estable,1.433333333,0.7444443333,0.35,1.7
Avocalia Turbo,900405766,Avocalia Laureles - Turbo,1.054815808,4,3000,3000,-0.9451841916,-0.4725920958,🟢 Saludable,No,Estable,1.126215281,1.0354902,1.253289447,0.8042683049
Cinnabon - Turbo,900396466,Cinnabon Laureles - Turbo,1.053684935,4,3000,3000,-0.9463150654,-0.4731575327,🟢 Saludable,No,Estable,0.8745613947,1.087037,0.8671052895,1.386036054
Cinnabon - Turbo,900414571,Cinnabon Barranquilla Norte - Turbo,1.043755525,4,3000,3000,-0.9562444752,-0.4781222376,🟢 Saludable,No,Estable,0.8209876667,1.520238071,0.8930555833,0.9407407778
Almuerzos D´la Casa - Turbo,900471204,Almuerzos D´la Casa - Cabecera - Turbo,1.041666813,4,2700,2700,-0.9583331875,-0.4791665938,🟢 Saludable,No,Estable,1.066666667,1.116667,1.35416675,0.6291668333
Sanduches el Jefe - Turbo,900419507,Sandwich El Jefe Manila - Turbo,1.021875025,4,3000,3000,-0.978124975,-0.4890624875,🟢 Saludable,No,Estable,0.8666666667,0.4958335,0.6583333333,2.0666666
House Of Salads - Turbo,900445679,House Of Salad Laureles - Turbo,1.021577378,4,3000,3000,-0.978422622,-0.489211311,🟢 Saludable,No,Estable,1.05,0.7753969048,1.25138875,1.009523857
House Of Salads - Turbo,900445683,House Of Salad Manila - Turbo,1.013888852,4,3000,3000,-0.9861111479,-0.493055574,🟢 Saludable,No,Estable,0.6055555,1.162499875,1.488888867,0.7986111667
Bottaniko - Turbo,900443506,Bottaniko Laureles - Turbo,1.011111167,4,3000,3000,-0.9888888333,-0.4944444167,🟢 Saludable,No,Empeorando,0.2055556667,1.044444667,1.794444333,1
Burritos & Co - Turbo,900426541,Burritos & Co Bucaramanga - Turbo,1.007595422,4,3000,3000,-0.9924045782,-0.4962022891,🟢 Saludable,No,Estable,0.9437500104,1.101747315,0.8794643214,1.105420041
Desayuno Mi Tierrita - Turbo,900465160,Desayuno Mi Tierrita Manila - Turbo,1.004861167,4,3000,3000,-0.9951388333,-0.4975694167,🟢 Saludable,No,Estable,1.075,1.4333335,0.3583335,1.152777667
Brunch & Munch - Turbo,900405254,Brunch & Munch Manila - Medellin - Turbo,0.9973023822,4,3000,3000,-1.002697618,-0.5013488089,🟢 Saludable,No,Estable,0.6362573246,1.224320978,0.7535623588,1.375068868
Burrito Cantina - Turbo,900467386,Burrito Cantina Barranquilla Norte - Turbo,0.9902779167,3,2700,2700,-1.009722083,-0.5048610417,🟢 Saludable,No,Estable,,1.38749975,1.316667,0.266667
