Semana,Ciudad,Marca,Store ID,Store Name,Cocina,Avg RTWT (limpio),Current Size (m),Final Size (m)
25/5/2026,Medellín,Numa Cocina Mediterranea - Turbo,CO900463749,Cocina Mediterranea Laureles - Turbo,Laureles,4.85,2400.0,2400.0
25/5/2026,Bogotá,Brunch & Munch - Turbo,CO900409674,Brunch & Munch Usaquen - Turbo,Usaquén,1.81,3000.0,3000.0
25/5/2026,Bucaramanga,Almuerzos D´la Casa - Turbo,CO900471204,Almuerzos D´la Casa - Cabecera - Turbo,Cabecera (Bga),1.78,2700.0,2700.0
25/5/2026,Cartagena,Alba Vegetarian - Turbo,CO900479519,Alba Vegetarian - Cartagena Calle 24a 329 - Turbo,Cartagena,1.77,2700.0,2700.0
25/5/2026,Bogotá,Cinnabon - Turbo,CO900416553,Cinnabon Villa Del Prado - Turbo,Villa del Prado,1.76,2700.0,3000.0
25/5/2026,Bogotá,Numa Cocina Mediterranea - Turbo,CO900463760,Cocina Mediterranea Usaquen - Turbo,Usaquén,1.75,2400.0,2400.0
25/5/2026,Bogotá,Foodology Court - Turbo,CO900465138,Foodology Cl 109 - Turbo Cl. 109 #15-28,Calle 109,1.74,3000.0,3000.0
25/5/2026,Bogotá,Burrito Cantina - Turbo,CO900470960,Burrito Cantina Kennedy - Turbo,Kennedy,1.74,3000.0,3000.0
25/5/2026,Bogotá,Señor Burrito. - Turbo,CO900471311,Señor Burrito Andes - Turbo,Andes,1.74,2400.0,2400.0
25/5/2026,Bucaramanga,Burritos & Co - Turbo,CO900426541,Burritos & Co Bucaramanga - Turbo,Cabecera (Bga),1.74,3000.0,3000.0
25/5/2026,Bogotá,Señor Burrito. - Turbo,CO900471310,Señor Burrito Kennedy - Turbo,Kennedy,1.73,3000.0,3000.0
25/5/2026,Bogotá,The Breakfast Club - Turbo,CO900475289,The Breakfast Club Usaquen - Turbo,Usaquén,1.68,3000.0,3000.0
25/5/2026,Medellín,Numa Cocina Mediterranea - Turbo,CO900463756,Cocina Mediterranea Manila - Turbo,Manila,,3000.0,3000.0
25/5/2026,Barranquilla,Burritos & Co - Turbo,CO900410570,Burritos & Co Barranquilla - Turbo,Barranquilla,1.67,2700.0,3000.0
25/5/2026,Cali,Burritos & Co - Turbo,CO900473554,Burritos & Co - Ingenio - Turbo,Ingenio,1.67,2400.0,2400.0
25/5/2026,Barranquilla,Foodology Court - Turbo,CO900465150,Foodology Barranquilla Nte - Turbo Cra. 45 #85-168,Barranquilla,1.65,2700.0,3000.0
25/5/2026,Bogotá,Vicio - Turbo,CO900400178,Vicio Castellana - Turbo,Parque 93 / Castellana,1.65,2700.0,3000.0
25/5/2026,Cartagena,House Of Salads - Turbo,CO900481978,House Of Salads Cartagena - Turbo,Cartagena,1.65,2700.0,2700.0
25/5/2026,Bogotá,Avocalia Turbo,CO900420304,Avocalia - Kennedy - Turbo,Kennedy,1.64,2700.0,3000.0
25/5/2026,Bogotá,Sanduches el Jefe - Turbo,CO900419505,Sandwich el Jefe Usaquen - Turbo Calle 120A #3A11 236,Usaquén,1.62,2700.0,3000.0
25/5/2026,Medellín,Dembow - Turbo,CO900473652,Dembow - Envigado - Turbo Carrera 42 #40c Sur-29,Envigado,,2400.0,2400.0
25/5/2026,Medellín,Dembow - Turbo,CO900473643,Dembow - Laureles - Turbo,Laureles,1.0,2700.0,3000.0
25/5/2026,Bogotá,Cacerola - Turbo,CO900473675,Cacerola - Andes - Turbo,Andes,1.57,2400.0,2400.0
25/5/2026,Bucaramanga,Bottaniko - Turbo,CO900443514,Bottaniko - Bucaramanga - Turbo,Cabecera (Bga),1.57,3000.0,3000.0
25/5/2026,Bogotá,Cacerola - Turbo,CO900416208,Cacerola - Villa del Prado  - Turbo,Villa del Prado,1.56,2700.0,2700.0
25/5/2026,Barranquilla,Almuerzos D´la Casa - Turbo,CO900471203,Almuerzos D´la Casa - Barranquilla Norte - Turbo,Barranquilla,1.55,3000.0,3000.0
25/5/2026,Medellín,Dembow - Turbo,CO900473644,Dembow - Manila - Turbo,Manila,3.81,3000.0,3000.0
25/5/2026,Cartagena,Acpm Corrientazo - Turbo,CO900479517,Acpm Corrientazo Cartagena - Turbo,Cartagena,1.52,2400.0,3000.0
25/5/2026,Medellín,Desayuno Mi Tierrita - Turbo,CO900473557,Desayuno Mi Tierrita Envigado - Turbo,Envigado,,2400.0,2400.0
25/5/2026,Bogotá,Monteverde - Turbo,CO900450779,Monteverde Chapinero - Turbo,Chapinero,1.51,2700.0,3000.0
25/5/2026,Bogotá,Frost By Oreo - Turbo,CO900475372,Frost By Oreo Cl 109 - Turbo,Calle 109,1.48,3000.0,3000.0
25/5/2026,Bogotá,Monteverde - Turbo,CO900449821,MonteVerde Calle 93 - Turbo,Parque 93 / Castellana,1.48,2400.0,2400.0
25/5/2026,Cartagena,Green House Fd - Turbo,CO900481820,Green House Cartagena - Turbo,Cartagena,1.46,2700.0,3000.0
25/5/2026,Bogotá,Burritos & Co - Turbo,CO900426540,Burritos & Co Andes - Turbo,Andes,1.45,2700.0,3000.0
25/5/2026,Bogotá,Avocalia Turbo,CO900473671,Avocalia Andes Mp - Turbo,Andes,1.43,2700.0,3000.0
25/5/2026,Bogotá,Avocalia Turbo,CO900401242,Avocalia - Castellana - Turbo,Parque 93 / Castellana,1.41,2400.0,2400.0
25/5/2026,Medellín,Desayuno Mi Tierrita - Turbo,CO900465157,Desayuno Mi Tierrita Laureles - Turbo,Laureles,2.64,2700.0,3000.0
25/5/2026,Bogotá,Alba Vegetarian - Turbo,CO900488270,Alba Vegetarian Arrecife - Turbo,Arrecife,2.89,3000.0,3000.0
25/5/2026,Medellín,Desayuno Mi Tierrita - Turbo,CO900465160,Desayuno Mi Tierrita Manila - Turbo,Manila,1.32,3000.0,3000.0
25/5/2026,Medellín,Desayunos de la Abuela - Turbo,CO900472678,Desayunos de la Abuela Envigado - Turbo,Envigado,,2400.0,2400.0
25/5/2026,Barranquilla,Selvatiko. - Turbo,CO900475115,Selvatiko. Barranquilla Norte - Turbo,Barranquilla,1.29,2400.0,2400.0
25/5/2026,Bogotá,Numa Cocina Mediterranea - Turbo,CO900463747,Numa Cocina Mediterranea Chapinero - Turbo,Chapinero,1.29,2400.0,2400.0
25/5/2026,Medellín,Desayunos de la Abuela - Turbo,CO900446317,Desayunos de la Abuela Laureles - Turbo,Laureles,3.46,2700.0,3000.0
25/5/2026,Bogotá,La Cuadra - Turbo,CO900426536,La Cuadra - Andes - Turbo,Andes,1.27,2700.0,3000.0
25/5/2026,Medellín,Desayunos de la Abuela - Turbo,CO900446309,Desayunos de la Abuela Manila - Turbo,Manila,2.19,3000.0,3000.0
25/5/2026,Barranquilla,Cinnabon - Turbo,CO900414571,Cinnabon Barranquilla Norte - Turbo,Barranquilla,1.25,2700.0,3000.0
25/5/2026,Medellín,Doritos Locos By Dorito - Turbo,CO900473564,Doritos Locos By Dorito Envigado - Turbo,Envigado,,2400.0,2400.0
25/5/2026,Cartagena,Honest Food Fdl - Turbo,CO900481826,Honest Food Cartagena - Turbo,Cartagena,1.24,2700.0,3000.0
25/5/2026,Medellín,Doritos Locos By Dorito - Turbo,CO900472101,Doritos Locos By Dorito Laureles - Turbo,Laureles,,2400.0,2400.0
25/5/2026,Bogotá,Alba Vegetarian - Turbo,CO900476064,Alba Vegetarian Villa Del Prado - Turbo,Villa del Prado,1.22,2700.0,3000.0
25/5/2026,Bogotá,Selvatiko. - Turbo,CO900475113,Selvatiko. Kennedy - Turbo,Kennedy,1.22,2700.0,2700.0
25/5/2026,Cali,Avocalia Turbo,CO900472745,Avocalia - Ingenio - Turbo,Ingenio,1.22,2400.0,2400.0
25/5/2026,Cartagena,La Cuadra - Turbo,CO900481970,La Cuadra - Cartagena - Turbo,Cartagena,1.21,2700.0,2700.0
25/5/2026,Bogotá,Green House Fd - Turbo,CO900438448,Green House Usaquen - Turbo,Usaquén,1.19,2700.0,3000.0
25/5/2026,Medellín,Doritos Locos By Dorito - Turbo,CO900472108,Doritos Locos By Dorito Manila - Turbo,Manila,,3000.0,3000.0
25/5/2026,Medellín,Foodology Court - Turbo,CO900473568,Foodology Envigado - Turbo,Envigado,,2400.0,2400.0
